Year,Total Students,Black Students,Black Percentage
1980,1170,30,2.56
1984,1234,24,1.94
1986,1321,28,2.12
1988,1368,32,2.34
1990,1355,34,2.51
1991,1320,35,2.65
1992,1388,38,2.74
1993,1352,35,2.59
1994,1360,42,3.09
1995,1368,48,3.51
1996,1338,45,3.36
1997,1298,45,3.47
1998,1345,35,2.60
1999,1334,33,2.47
2000,1367,46,3.37
2001,1450,47,3.24
2002,1536,47,3.06
2003,1635,47,2.87
2004,1654,49,2.96
2005,1734,49,2.83
2006,1756,47,2.68
2007,1786,58,3.25
2008,1814,65,3.58
2009,2330,102,4.38
2010,2387,93,3.90
2011,2388,103,4.31
2012,2450,111,4.53
2013,2359,107,4.54
2014,2633,128,4.86
2015,2806,139,4.95
2016,2855,139,4.87
2017,3107,157,5.05
2018,3214,180,5.60
2019,3173,204,6.43
2020,3156,218,6.91
2021,3347,246,7.35
2022,3486,262,7.52
