Year,Total Students,Black Students,Black Percentage
1980,6867,382,5.56
1984,7099,429,6.04
1986,7357,464,6.31
1988,7612,460,6.04
1990,7577,446,5.89
1991,7532,436,5.79
1992,7593,443,5.83
1993,7655,424,5.54
1994,7801,436,5.59
1995,7641,444,5.81
1996,7626,437,5.73
1997,7579,448,5.91
1998,7782,441,5.67
1999,7758,426,5.49
2000,7723,438,5.67
2001,7774,428,5.51
2002,7892,442,5.60
2003,7882,458,5.81
2004,8004,475,5.93
2005,8261,502,6.08
2006,8125,492,6.06
2007,8167,487,5.96
2008,8318,501,6.02
2009,8574,442,5.16
2010,8705,461,5.30
2011,8768,470,5.36
2012,8885,488,5.49
2013,8943,513,5.74
2014,9181,550,5.99
2015,9458,565,5.97
2016,9781,573,5.86
2017,10095,590,5.84
2018,10257,621,6.05
2019,10333,672,6.50
2020,9948,700,7.04
2021,10696,791,7.40
2022,11151,834,7.48
